file,source,species,PC1,PC2,PC3
ca_dfb.csv,ca,dfb,0.42421,0.21241,0.05015
ca_dftm.csv,ca,dftm,0.45675,0.09257,0.06358
ca_esbw.csv,ca,esbw,0.44597,0.17509,0.05447
ca_ftc.csv,ca,ftc,0.325,0.1421,0.10528
ca_jpbw.csv,ca,jpbw,0.26652,0.14951,0.09223
ca_mpb.csv,ca,mpb,0.37115,0.22709,0.06077
ca_sb.csv,ca,sb,0.33083,0.25839,0.06494
ca_tcbw.csv,ca,tcbw,0.3661,0.11976,0.0841
ca_wbbb.csv,ca,wbbb,0.40081,0.21375,0.05349
ca_wsbw.csv,ca,wsbw,0.39711,0.17644,0.06161
usa_dfb.csv,usa,dfb,0.43031,0.23498,0.06348
usa_dftm.csv,usa,dftm,0.47021,0.126,0.07033
usa_fe.csv,usa,fe,0.43551,0.21516,0.06192
usa_ftc.csv,usa,ftc,0.31755,0.1277,0.06217
usa_jpbw.csv,usa,jpbw,0.21763,0.16234,0.06942
usa_mpb.csv,usa,mpb,0.46052,0.1762,0.05021
usa_sb.csv,usa,sb,0.44725,0.18683,0.06563
usa_sm.csv,usa,sm,0.33634,0.08232,0.06812
usa_wbbb.csv,usa,wbbb,0.39455,0.21021,0.05884
usa_wpb.csv,usa,wpb,0.47818,0.16634,0.06095
usa_wsbw.csv,usa,wsbw,0.40578,0.17055,0.07219
