country,species,prox.p,PC1.p,PC2.p,PC3.p
ca,dfb,0,0.012,0.98,0.036
ca,dftm,0.002,0.538,0.072,0.178
ca,esbw,0,0,0,0
ca,ftc,0,0.936,0.422,0.196
ca,jpbw,0,0,0,0.01
ca,mpb,0,0,0.982,0
ca,sb,0,0.24,0.012,0.002
ca,tcbw,0,0,0.012,0.078
ca,wbbb,0,0,0.154,0.126
ca,wsbw,0,0.602,0.876,0
usa,dfb,0,0,0.036,0.002
usa,dftm,0,0.312,0.142,0.942
usa,fe,0,0,0,0
usa,ftc,0,0,0.022,0
usa,jpbw,0,0,0,0
usa,mpb,0,0.002,0,0.608
usa,sb,0,0.008,0.044,0.002
usa,sm,0,0.002,0.552,0.026
usa,wbbb,0,0.876,0,0.158
usa,wpb,0,0.05,0.056,0
usa,wsbw,0,0,0.05,0
