species,country,model,freq.top,num.pos,num.att,num.rnk,num.usd,weight
dfb,ca,S,180,30537500,25000,25000,24930,0.36
dfb,ca,E,155,30537500,25000,25000,24921,0.31
dfb,ca,C,165,30537500,25000,25000,24931,0.33
dfb,usa,S,181,486855000,25000,25000,24988,0.362
dfb,usa,E,152,486855000,25000,25000,24982,0.304
dfb,usa,C,167,486855000,25000,25000,24979,0.334
dftm,ca,S,200,150000,25000,25000,24003,0.4
dftm,ca,E,92,150000,25000,25000,24002,0.184
dftm,ca,C,208,150000,25000,25000,23978,0.416
dftm,usa,S,211,1314000,25000,25000,24649,0.422
dftm,usa,E,90,1314000,25000,25000,24633,0.18
dftm,usa,C,199,1314000,25000,25000,24657,0.398
esbw,ca,S,180,365118000,25000,25000,24980,0.36
esbw,ca,E,148,365118000,25000,25000,24982,0.296
esbw,ca,C,172,365118000,25000,25000,24979,0.344
fe,usa,S,149,303325500,25000,25000,24985,0.298
fe,usa,E,156,303325500,25000,25000,24978,0.312
fe,usa,C,195,303325500,25000,25000,24972,0.39
ftc,ca,S,194,229680500,25000,25000,24981,0.388
ftc,ca,E,105,229680500,25000,25000,24983,0.21
ftc,ca,C,201,229680500,25000,25000,24975,0.402
ftc,usa,S,144,63630000,25000,25000,24950,0.288
ftc,usa,E,136,63630000,25000,25000,24958,0.272
ftc,usa,C,220,63630000,25000,25000,24945,0.44
jpbw,ca,S,208,3570000,25000,25000,24826,0.416
jpbw,ca,E,44,3570000,25000,25000,24788,0.088
jpbw,ca,C,248,3570000,25000,25000,24769,0.496
jpbw,usa,S,163,5814000,25000,25000,24831,0.326
jpbw,usa,E,144,5814000,25000,25000,24850,0.288
jpbw,usa,C,193,5814000,25000,25000,24841,0.386
mpb,ca,S,162,250250000,25000,25000,24980,0.324
mpb,ca,E,152,250250000,25000,25000,24968,0.304
mpb,ca,C,186,250250000,25000,25000,24978,0.372
mpb,usa,S,171,563625500,25000,25000,24985,0.342
mpb,usa,E,152,563625500,25000,25000,24982,0.304
mpb,usa,C,177,563625500,25000,25000,24990,0.354
sb,ca,S,158,61876500,25000,25000,24951,0.316
sb,ca,E,162,61876500,25000,25000,24956,0.324
sb,ca,C,180,61876500,25000,25000,24953,0.36
sb,usa,S,164,54405500,25000,25000,24953,0.328
sb,usa,E,159,54405500,25000,25000,24933,0.318
sb,usa,C,177,54405500,25000,25000,24949,0.354
sm,usa,S,172,9072500,25000,25000,24864,0.344
sm,usa,E,111,9072500,25000,25000,24871,0.222
sm,usa,C,217,9072500,25000,25000,24879,0.434
tcbw,ca,S,81,5365500,25000,25000,24819,0.162
tcbw,ca,E,151,5365500,25000,25000,24828,0.302
tcbw,ca,C,268,5365500,25000,25000,24820,0.536
wbbb,ca,S,165,225862500,25000,25000,24976,0.33
wbbb,ca,E,153,225862500,25000,25000,24974,0.306
wbbb,ca,C,182,225862500,25000,25000,24973,0.364
wbbb,usa,S,174,70889000,25000,25000,24944,0.348
wbbb,usa,E,164,70889000,25000,25000,24959,0.328
wbbb,usa,C,162,70889000,25000,25000,24959,0.324
wpb,usa,S,172,189007500,25000,25000,24972,0.344
wpb,usa,E,172,189007500,25000,25000,24973,0.344
wpb,usa,C,156,189007500,25000,25000,24979,0.312
wsbw,ca,S,202,5587500,25000,25000,24835,0.404
wsbw,ca,E,112,5587500,25000,25000,24824,0.224
wsbw,ca,C,186,5587500,25000,25000,24826,0.372
wsbw,usa,S,156,176190000,25000,25000,24979,0.312
wsbw,usa,E,165,176190000,25000,25000,24969,0.33
wsbw,usa,C,179,176190000,25000,25000,24979,0.358
